product_id,product_name,category,subcategory,brand,base_price_2015,weight_kg,rating,is_prime_eligible,launch_year,model
PROD_000001,Apple iPhone 6 16GB Black,electronics,smartphones,apple,190469.1,0.21,3.9,True,2015,iphone 6
PROD_000002,Apple iPhone 6 32GB Black,electronics,smartphones,apple,158424.89,0.18,3.4,True,2015,iphone 6
PROD_000003,Apple iPhone 6 64GB Black,electronics,smartphones,apple,118141.16,0.22,4.6,True,2015,iphone 6
PROD_000004,Apple iPhone 6 16GB White,electronics,smartphones,apple,211721.16,0.21,4.1,True,2015,iphone 6
PROD_000005,Apple iPhone 6 32GB White,electronics,smartphones,apple,114806.24,0.2,3.8,True,2015,iphone 6
PROD_000006,Apple iPhone 6 16GB Blue,electronics,smartphones,apple,209875.55,0.17,3.3,True,2015,iphone 6
PROD_000007,Apple iPhone 6 32GB Blue,electronics,smartphones,apple,150746.2,0.25,3.9,False,2015,iphone 6
PROD_000008,Apple iPhone 6 16GB Gold,electronics,smartphones,apple,180530.75,0.2,3.2,False,2015,iphone 6
PROD_000009,Apple iPhone 6 Plus 16GB Black,electronics,smartphones,apple,114096.63,0.17,3.6,True,2015,iphone 6 plus
PROD_000010,Apple iPhone 6 Plus 32GB Black,electronics,smartphones,apple,173499.67,0.23,3.5,True,2015,iphone 6 plus
PROD_000011,Apple iPhone 6 Plus 64GB Black,electronics,smartphones,apple,130723.61,0.23,3.8,True,2015,iphone 6 plus
PROD_000012,Apple iPhone 6 Plus 16GB White,electronics,smartphones,apple,169270.03,0.15,4.5,True,2015,iphone 6 plus
PROD_000013,Apple iPhone 6 Plus 32GB White,electronics,smartphones,apple,152015.02,0.24,4.3,True,2015,iphone 6 plus
PROD_000014,Apple iPhone 6 Plus 64GB White,electronics,smartphones,apple,169544.4,0.2,4.6,True,2015,iphone 6 plus
PROD_000015,Apple iPhone 6 Plus 16GB Blue,electronics,smartphones,apple,187232.01,0.2,4.1,False,2015,iphone 6 plus
PROD_000016,Apple iPhone 6 Plus 32GB Blue,electronics,smartphones,apple,173203.42,0.18,3.6,True,2015,iphone 6 plus
PROD_000017,Apple iPhone 5s 16GB Black,electronics,smartphones,apple,189724.48,0.17,3.2,True,2015,iphone 5s
PROD_000018,Apple iPhone 5s 32GB Black,electronics,smartphones,apple,183185.73,0.22,4.4,True,2015,iphone 5s
PROD_000019,Apple iPhone 5s 16GB White,electronics,smartphones,apple,148346.57,0.16,4.5,True,2015,iphone 5s
PROD_000020,Apple iPhone 5s 32GB White,electronics,smartphones,apple,145589.8,0.16,3.7,True,2015,iphone 5s
PROD_000021,Samsung Galaxy S6 16GB Black,electronics,smartphones,samsung,123614.29,0.19,4.7,True,2015,galaxy s6
PROD_000022,Samsung Galaxy S6 32GB Black,electronics,smartphones,samsung,140946.79,0.17,3.6,True,2015,galaxy s6
PROD_000023,Samsung Galaxy S6 64GB Black,electronics,smartphones,samsung,139751.59,0.16,3.9,True,2015,galaxy s6
PROD_000024,Samsung Galaxy S6 16GB White,electronics,smartphones,samsung,159742.47,0.2,4.0,True,2015,galaxy s6
PROD_000025,Samsung Galaxy S6 32GB White,electronics,smartphones,samsung,78047.8,0.21,4.0,True,2015,galaxy s6
PROD_000026,Samsung Galaxy S6 64GB White,electronics,smartphones,samsung,164828.19,0.21,4.2,False,2015,galaxy s6
PROD_000027,Samsung Galaxy S6 16GB Blue,electronics,smartphones,samsung,130430.24,0.18,3.4,True,2015,galaxy s6
PROD_000028,Samsung Galaxy S6 32GB Blue,electronics,smartphones,samsung,86591.57,0.19,4.5,True,2015,galaxy s6
PROD_000029,Samsung Galaxy S6 Edge 16GB Black,electronics,smartphones,samsung,74885.61,0.17,3.8,True,2015,galaxy s6 edge
PROD_000030,Samsung Galaxy S6 Edge 32GB Black,electronics,smartphones,samsung,155958.9,0.15,4.0,True,2015,galaxy s6 edge
PROD_000031,Samsung Galaxy S6 Edge 64GB Black,electronics,smartphones,samsung,86987.64,0.16,3.7,False,2015,galaxy s6 edge
PROD_000032,Samsung Galaxy S6 Edge 16GB White,electronics,smartphones,samsung,97905.92,0.2,4.3,True,2015,galaxy s6 edge
PROD_000033,Samsung Galaxy S6 Edge 32GB White,electronics,smartphones,samsung,167952.46,0.25,3.6,True,2015,galaxy s6 edge
PROD_000034,Samsung Galaxy S6 Edge 16GB Blue,electronics,smartphones,samsung,95494.86,0.18,3.3,True,2015,galaxy s6 edge
PROD_000035,Samsung Galaxy S6 Edge 32GB Blue,electronics,smartphones,samsung,117289.33,0.16,3.6,False,2015,galaxy s6 edge
PROD_000036,Samsung Galaxy S6 Edge 16GB Gold,electronics,smartphones,samsung,88872.68,0.16,3.9,False,2015,galaxy s6 edge
PROD_000037,Samsung Galaxy Note 5 16GB Black,electronics,smartphones,samsung,88664.85,0.22,3.8,True,2015,galaxy note 5
PROD_000038,Samsung Galaxy Note 5 32GB Black,electronics,smartphones,samsung,131421.21,0.2,3.3,True,2015,galaxy note 5
PROD_000039,Samsung Galaxy Note 5 64GB Black,electronics,smartphones,samsung,97644.25,0.17,3.3,True,2015,galaxy note 5
PROD_000040,Samsung Galaxy Note 5 16GB White,electronics,smartphones,samsung,136176.95,0.15,4.0,True,2015,galaxy note 5
PROD_000041,Samsung Galaxy Note 5 32GB White,electronics,smartphones,samsung,132678.66,0.17,4.2,True,2015,galaxy note 5
